case_id,duration_seconds,teaching_experience,gender,age_group,first_submission_mastery,rubric_clear_aligned,feedback_specific_relevant,feedback_helped_improve,feedback_timely,overall_feedback_quality,most_valuable_text,improvement_text,prior_ai_experience,ai_awareness,ai_comfort,ai_as_useful_as_human,preferred_feedback_model,additional_ai_comments,duration_minutes,duration_flag,rubric_clear_aligned_num,feedback_specific_relevant_num,feedback_helped_improve_num,feedback_timely_num,feedback_experience,feedback_experience_3item,feedback_experience_maximum,feedback_experience_3item_maximum
L064,547,11-20 years,Female,31-40,"Yes, I did.",Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Good,"The most valuable aspect of the grading and feedback process for this assignment was receiving specific feedback on my strengths and areas for improvement. The feedback helped me better understand the expectations of the assignment, recognize what I did well, and identify skills I can continue to develop in future assignments. It also provided guidance that will help me improve the quality of my work moving forward.","I also appreciate detailed comments that explain why points were lost and provide examples for improvement, as this helps me better understand the material and strengthen my skills.And having a model in the future to show your students exactly what you are looking for in the assignment.",Minimal experience,"Yes, fully aware",Neither agree nor disagree,Strongly disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"My experience with AI in teaching and learning has been positive overall. AI has been a helpful tool for generating ideas, improving my understanding of concepts, and supporting my learning process. However, I would not recommend using AI to grade assignments. Just as instructors encourage students to complete their own work rather than relying on AI, I believe grading should remain primarily in the hands of educators. Teachers can provide personalized feedback, understand context, and recognize student growth in ways that AI cannot fully replicate. AI can be a useful support tool, but human judgment is still important in the grading process.",9.116666666666667,Not flagged,4,5,4,5,4.5,4.333333333333333,FALSE,FALSE
L065,110,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The teachers feedbacm,Open grading,No experience,Somewhat aware,Strongly disagree,Strongly disagree,I have no preference.,N/a,1.8333333333333333,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L066,177,0-3 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,2.95,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L067,829,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"For me, one aspect is having understood the importance of each comment in order to achieve the course objective",There would be very few changes; one would be more communication with the instructor.,Minimal experience,Not aware at all,Somewhat agree,Neither agree nor disagree,AI provides all feedback; human instructor reviews only disputed grades.,N/A,13.816666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L068,378,0-3 years,Female,31-40,"Yes, I did.",Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"Sentir que mi maestra estaba conmigo en cada paso, acompañándome hizo que todo fuera más fácil. Eso fue realmente increíble porque me ayudó a aclarar mis ideas.",Hasta el momento este ha sido el curso que mejor me he sentido al respecto. La persona a cargo retroalimentaba todo y eso me ayudó a aclarar dudas y hacer que todo el proceso sea más rápido y fácil.,Some experience,"Yes, fully aware",Somewhat disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No confío mucho en la IA así que lo que opine o no quizás no sea de importancia y relevancia.,6.3,Not flagged,4,5,5,5,4.75,4.666666666666667,FALSE,FALSE
L069,604,20+ years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"El aspecto más valioso del proceso de calificación y retroalimentación fue recibir comentarios específicos sobre mis fortalezas y las áreas que puedo mejorar. La retroalimentación me ayudó a comprender mejor los conceptos trabajados, identificar oportunidades de crecimiento y fortalecer mis habilidades para futuras actividades",No haría ningún cambio,Minimal experience,Somewhat aware,Neither agree nor disagree,Neither agree nor disagree,I have no preference.,No,10.066666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L070,125,4-10 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,No experience,"Yes, fully aware",Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,2.0833333333333335,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L071,751,4-10 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,“The most valuable aspect was receiving clear and constructive feedback. It helped me better understand the assignment requirements and improve my work.,“I am satisfied with the current grading and feedback process. The feedback provided was clear and supported my learning.”,Minimal experience,Somewhat aware,Strongly agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"I appreciate the use of AI as a learning support tool. When combined with instructor oversight, it can enhance the learning experience and provide timely feedback.",12.516666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L072,928,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The most valuable aspect of my grading and feedback process was the clear and specific information provided. It helped me understand my strengths, identify areas for improvement, and learn how to refine my work for future assignments.","The grading and feedback process was generally useful. One possible improvement would be to include additional examples or detailed explanations for areas requiring refinement, as this would make it easier for me to apply the feedback to future assignments and would enrich my learning experience.",Minimal experience,Somewhat aware,Somewhat agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"Overall, my experience with AI in teaching and learning has been positive. AI tools have helped me better understand course materials, improve my work, and save time when completing assignments. This course also helped me learn how to use AI responsibly and effectively as a tool to support learning.",15.466666666666669,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L073,868,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The feedback was very detailed and specific and offered suggestions on how to improve.,None,Minimal experience,"Yes, fully aware",Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,14.466666666666669,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L074,888,20+ years,Female,50+,"Yes, I did.",Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Fair,"I passed the first time, but...the feedback gave me alot of negativity, or things that were missed, which was good in a way. But it was soooo much that it made me wonder how I managed to get any credit at all for the assignment. It also was not at all personalized like the professor would have graded. Even though it told you the marks that you hit..it still didn't make me feel like I did well or want to do more. It didn't offer possibilities for future lessons. It made me tired reading the feedback.","Let the instructor do it not ""the system"". The instructor has the classroom experience and knows children and people and can offer encouragement and new ideas.",Minimal experience,"Yes, fully aware",Strongly disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,Sometimes I use it to generate questions for an activity based on C.L.A.S.S. but that all I've used it for.,14.8,Not flagged,5,4,4,5,4.5,4.666666666666667,FALSE,FALSE
L075,240,11-20 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Me encantaba que las evaluaciones fueran a tiempo y una retroalimentación verídica y constructiva favorablemente a mis aprendizajes.,Ningún tipo de cambio,Extensive experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,Nop,4,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L076,175,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The real life examples in a classroom, great quality videos.",I will like the class show more Montessori ways,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,2.9166666666666665,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L077,2980,0-3 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Excellent,The most valuable aspect of the grading and feedback process was the specific guidance provided on my work. The feedback helped me understand what I did well and identified areas where I could improve. It gave me a clearer understanding of the assignment expectations and helped me strengthen my skills for future coursework and professional practice.,"Overall, I found the grading and feedback process helpful. One improvement would be to provide a few more specific examples or suggestions for how to strengthen areas that need improvement. This would make it even easier to apply the feedback to future assignments and continue developing my skills.",No experience,Somewhat aware,Neither agree nor disagree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"AI has been a helpful tool in my learning process even thought I agree more to have more human interaction as my learning is better by a human than a computer giving me suggestions, I know we are on an advanced generation but as an old fashioned person I would love to have the resources in a book or notes than AI. I believe human interaction and books allow me to brainstorm ideas, better understand course concepts, and improve my writing and organization",49.666666666666664,Not flagged,5,5,4,5,4.75,4.666666666666667,FALSE,FALSE
L078,144,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,No experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,2.4,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L079,139,0-3 years,Female,<30,"Yes, I did.",Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Excellent,NA,NA,Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,NA,2.316666666666667,Not flagged,4,4,5,5,4.5,4.666666666666667,FALSE,FALSE
L080,88,0-3 years,Female,31-40,"Yes, I did.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Excellent,NA,NA,Some experience,Somewhat aware,Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,1.4666666666666666,1 to under 2 minutes,4,4,4,4,4,4,FALSE,FALSE
L081,269,0-3 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,El aspecto más valioso del proceso de calificación y retroalimentación fue recibir comentarios claros y específicos sobre mis fortalezas y las áreas que puedo mejorar.,"Considero que el proceso de calificación fue útil. Para mejorar mi experiencia de aprendizaje, sería beneficioso recibir comentarios más detallados sobre los aspectos positivos de mi trabajo y recomendaciones específicas para seguir desarrollando mis habilidades.",Some experience,Not aware at all,Strongly agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"No, sería todo.",4.483333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L082,61,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,Somewhat aware,Somewhat disagree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,1.0166666666666666,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L083,85,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,No experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,1.4166666666666667,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L084,313,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Clarity,It was perfect.,No experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,"I truly enjoyed completing the Emergent Literacy Micro-Credential course through UF Lastinger. The course provided valuable, research-based strategies that I was able to apply immediately in my preschool classroom. The content was clear, engaging, and well organized, and it helped deepen my understanding of early literacy development. I especially appreciated the practical activities and resources that support young children's language, phonological awareness, and print knowledge. This course has strengthened my teaching practices and increased my confidence in fostering literacy skills in young learners. I highly recommend it to early childhood educators who want to enhance their knowledge and positively impact children's learning.",5.216666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L085,417,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The most valuable aspect was that the feedback helped me reflect more deeply on how my activity supported children’s emergent literacy development. It helped me understand the importance of giving concrete examples, explaining the impact on children, and connecting family engagement activities to reading, writing, communication, and language development.","One change that would improve my learning experience would be to include a short example of a strong response or sample explanation. This would help me better understand how much detail is expected and how to connect my reflection more clearly to the rubric. Overall, the feedback was helpful and supported my learning.",Some experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,"Before this course, I had some basic experience using AI tools, such as chatbots and writing assistants, mainly to help organize my ideas, improve my writing, and better understand assignments. I was familiar with using AI as a support tool, but I was still learning how it could be used in education and feedback. Were you aware that an AI tool was used in helping provide feedback for this assignment? Yes, I was aware that an AI tool was used to help provide feedback for this assignment. I am comfortable with AI tools being used to provide feedback on my assignments. Agree. I believe AI-generated feedback can be as useful as feedback from a human instructor for identifying areas of improvement. Agree, especially when the feedback is clear, specific, and connected to the rubric. However, I also believe human instructor feedback is very important because instructors can understand the student’s experience, effort, and context in a more personal way. Which of the following would best describe your preferred feedback model? My preferred feedback model would be a combination of AI-supported feedback and human instructor feedback. AI can help provide quick and detailed suggestions, while the instructor can review the feedback, add personal guidance, and make sure it is accurate and meaningful. Is there anything else you would like us to know about your experience with AI in teaching and learning before you submit the survey? Overall, my experience with AI in teaching and learning has been positive. I think AI can be a helpful tool when it is used responsibly and when students understand that it is meant to support learning, not replace the instructor. For this assignment, the feedback helped me reflect on my work, understand what I did well, and identify areas where I could improve. I appreciate having feedback that is timely, specific, and connected to the learning goals.",6.95,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L086,940,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Good,"The contributions given by the teacher were precise, concise and valuable for me","The teacher explained to me that they use an AI to correct I think that the feedback should be the next day and then when the teacher can, no longer than the due date for the assignment to complement what was said or reinforce. I think it takes a long time between my shipment and the response",Minimal experience,"Yes, fully aware",Neither agree nor disagree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,"I think it is important to work on the speed of the response especially because we teachers have little time to do the assignments for our routine and/or lifestyle. We make an effort to deliver them on time but we need speed when it is also reviewed, especially if we have to make corrections and we have little time for the due date of the assignment",15.666666666666666,Not flagged,5,5,5,2,4.25,4,FALSE,FALSE
L087,189,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,No experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No,3.15,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L088,362,20+ years,Female,50+,"No, I didn't.",Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Fair,NA,More concrete feedback on points missed,Minimal experience,Somewhat aware,Neither agree nor disagree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,NA,6.033333333333333,Not flagged,3,2,2,2,2.25,2.3333333333333335,FALSE,FALSE
L089,140,0-3 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The most valuable aspect was receiving specific feedback that helped me understand my strengths and areas for improvement. The feedback made expectations clear and helped me apply what I learned more effectively in my classroom practices.,"Overall, the grading and feedback process was helpful. One improvement would be providing feedback a little sooner when possible, so I can apply the suggestions more quickly to future assignments and learning activities.",Some experience,Somewhat aware,Somewhat agree,Somewhat agree,AI provides all feedback; human instructor reviews only disputed grades.,"AI has been a helpful tool for brainstorming ideas, creating lesson plans, and finding new ways to engage students. It saves time on preparation while still allowing me to use my professional judgment and creativity. I believe AI can be a valuable support for educators when used responsibly and as a supplement to, rather than a replacement for, quality teaching practices.",2.3333333333333335,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L090,642,20+ years,Female,50+,"No, I didn't.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"My first submission and second was rejected by the Ai Grading model. I do not have MS Word so I created my own document using copy/paste and submitted the assignment as a PDF. The facilitator was very sympathetic to my dilemma and helped me to re-format my assignment in a more MS Word-friendly format. Ai still rejected it and I did not receive mastery. My instructor then went ahead and graded it herself, awarding me mastery on the content of my assignment. She explained the whole process to me in a way I could understand.","Designing a more ""universally formatted"" assignment layout would help to accommodate MAC users in assignment submissions. Not all of us have access to MS Word on our computers.",No experience,"Yes, fully aware",Strongly disagree,Strongly disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No.,10.7,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L091,282,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"The most valuable aspect of the grading and feedback process was the specific, actionable feedback on my strengths and areas for improvement.",Having specific examples of what was done well and what could be improved would help me better understand expectations and make meaningful adjustments on future assignments.,Minimal experience,"Yes, fully aware",Neither agree nor disagree,Neither agree nor disagree,I have no preference.,No.,4.7,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L092,762,20+ years,Female,50+,"Yes, I did.",Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Excellent,It was highly relevant to every step of the process and it easily targeted the areas of improvement as well as the goals met.,The whole process was well planned and easy to understand.,Some experience,Somewhat aware,Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No.,12.7,Not flagged,4,5,5,5,4.75,4.666666666666667,FALSE,FALSE
L093,393,20+ years,Female,50+,"Yes, I did.",Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Excellent,N/A,N/A,No experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No,6.55,Not flagged,4,4,4,5,4.25,4.333333333333333,FALSE,FALSE
L094,104,20+ years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Very easy to understand and access.,None,Minimal experience,"Yes, fully aware",Somewhat disagree,Somewhat disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No,1.7333333333333334,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L095,246,11-20 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,I learned alot through this course and there is always room to learn more.,"I think the classes need to be opened up as soon as you turn it in, so you can go onto the next assignment, but I understand waiting for your grade to make sure you are on the right track.",No experience,Not aware at all,Somewhat agree,Somewhat agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,4.1,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L096,133,4-10 years,Female,41-50,"Yes, I did.",Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Good,NA,NA,Minimal experience,Not aware at all,Neither agree nor disagree,Somewhat agree,I have no preference.,NA,2.216666666666667,Not flagged,3,5,4,5,4.25,4,FALSE,FALSE
L097,235,4-10 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The feedback given on the assignment,N/A,Some experience,Not aware at all,Strongly agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,Nothing else,3.9166666666666665,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L098,1052,0-3 years,Female,41-50,"No, I didn't.",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Excellent,the valuable aspect on this assigment was the feedback because I learn more and I fix my mistakes.,"yes, I improve myself, and learn more from this experience, because from your mistakes your learn and grow and in this field of educator we never stop learning and growing professional.",No experience,Not aware at all,Strongly disagree,Somewhat disagree,I have no preference.,"I am someone who avoids technology, I prefer people because a machine won't answer you, correct you or point out your mistakes instead it demands perfection. also the AI make mistakes.",17.533333333333335,Not flagged,3,3,5,5,4,4.333333333333333,FALSE,FALSE
L099,202,4-10 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,The feedback helped me to improve my answers,I wouldn’t make any changes,Minimal experience,"Yes, fully aware",Strongly agree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,Na,3.3666666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L100,211,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,"Yes, fully aware",Strongly agree,Strongly agree,AI provides all feedback; human instructor reviews only disputed grades.,NA,3.5166666666666666,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L101,79,4-10 years,Female,<30,"Yes, I did.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Good,Where the professor was clear and direct with what was needed for mastery,Better examples of what is needed,Some experience,"Yes, fully aware",Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No,1.3166666666666669,1 to under 2 minutes,4,4,4,4,4,4,FALSE,FALSE
L102,3279,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"El aspecto más valioso del proceso de calificación y retroalimentación fue la oportunidad de organizar la observación de manera más clara y estructurada, separando los dominios de Comunicación y Autonomía Personal. Esto permitió identificar con mayor precisión sus logros actuales, como el reconocimiento de partes del cuerpo, así como las áreas que aún requieren apoyo, como el uso espontáneo del lenguaje, el seguimiento de instrucciones de dos pasos y la participación en rutinas de higiene. Esta organización facilita una mejor comprensión de sus necesidades y orienta de forma más efectiva la planificación de las próximas intervenciones.","Para mejorar aún más la experiencia de aprendizaje, sería útil incorporar una retroalimentación más inmediata y específica durante las actividades, reforzando en el momento los intentos de comunicación ya sea mediante palabras, repeticiones o señalamientos. También podría favorecer su progreso el uso de apoyos visuales más constantes para las instrucciones de dos pasos y las rutinas diarias, así como mayor repetición estructurada de las mismas habilidades en distintos contextos para facilitar la generalización. Además, incluir pequeñas metas más cortas y alcanzables dentro de cada actividad podría ayudar a mantener su atención por más tiempo y reducir la necesidad de redirección frecuente.",Some experience,Somewhat aware,Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,no,54.65,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L103,651,4-10 years,Female,50+,"Yes, I did.",Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Fair,It allowed me to put together projects for my class to try out with their family.,Being able to to see things in a different way from someone else's perspective,Some experience,Not aware at all,Neither agree nor disagree,Neither agree nor disagree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No,10.85,Not flagged,3,5,5,4,4.25,4,FALSE,FALSE
L104,155,11-20 years,Female,50+,Unsure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,NA,NA,Some experience,Not aware at all,Strongly agree,Strongly agree,NA,NA,2.5833333333333335,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L105,308,0-3 years,Female,<30,"Yes, I did.",Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Good,Supportive and encouraging some further insight,Would like more depth of insight if I understood correctly and represented the material properly if there were specific chapters to refer to or other information to use and how I could really develop my skill and knowledge,Minimal experience,Not aware at all,Somewhat disagree,Strongly disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,I know that some of my papers in university run through an AI checking system but that is about it.,5.133333333333334,Not flagged,5,5,4,5,4.75,4.666666666666667,FALSE,FALSE
L106,130,0-3 years,Female,<30,"Yes, I did.",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Excellent,I learn about how i need to be sure the kids understand me,About the vocabulary,Some experience,"Yes, fully aware",Strongly agree,Somewhat agree,AI provides all feedback; human instructor reviews only disputed grades.,no,2.1666666666666665,Not flagged,4,4,4,4,4,4,FALSE,FALSE
L107,612,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"Knowing I did my reach and did my assignment and submitted it knowing,with all the materials provided,I would get a good grade",It wouldng make a difference,No experience,Not aware at all,Somewhat agree,Somewhat agree,AI provides initial feedback; human instructor reviews every submission before grades are final.,No,10.2,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L108,1421,0-3 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,This assigment helped me to better adapt the activities according to the age and satge of development of each child.,I feel the current process is adequate and the feedback received has been clear and helpful.,No experience,Somewhat aware,Neither agree nor disagree,Neither agree nor disagree,I have no preference.,No,23.683333333333337,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L109,811,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,excellent resources,"I wouldn't change a thing, it's perfect.",Minimal experience,Not aware at all,Strongly disagree,Strongly disagree,I have no preference.,no,13.516666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L110,772,20+ years,Female,50+,"Yes, I did.",Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Good,"In general, I liked the way the course was conducted and the grading method. However, the assignment that was reviewed by AI took too long, and I think it included too many unnecessary details.",Expedite the feedback process. But overall it was a good professional experience. The structure of the course was easy to follow. We need more courses like this in the Early Childhood field.,Minimal experience,"Yes, fully aware",Neither agree nor disagree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,"It’s a valuable tool to correct grammar, but I’m afraid that in the future AI takes over and students really too much on it and don’t use their brain and creativity to the maximum potential.",12.866666666666667,Not flagged,5,4,5,3,4.25,4.333333333333333,FALSE,FALSE
L111,104,4-10 years,Female,31-40,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,To understand more,NA,No experience,"Yes, fully aware",Strongly agree,Strongly agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,1.7333333333333334,1 to under 2 minutes,5,5,5,5,5,5,TRUE,TRUE
L112,190,4-10 years,Female,<30,"Yes, I did.",Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Good,The response was received in a timely manner,If the responses to queries / questions were specific to what I asked and not generic,Minimal experience,"Yes, fully aware",Neither agree nor disagree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,No,3.1666666666666665,Not flagged,4,2,2,4,3,3.3333333333333335,FALSE,FALSE
L113,263,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,La experiencia,Me encantó el procedimiento,Minimal experience,"Yes, fully aware",Strongly agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,Me encantó la interacción,4.383333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L114,272,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,My instructor was always positive and her feedback was very helpful,None,Minimal experience,"Yes, fully aware",Neither agree nor disagree,Neither agree nor disagree,Human instructor grades everything; AI is only used as a support tool for the instructor.,N/A,4.533333333333333,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L115,283,11-20 years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Everything was explained clearly.,None. No changes. It works the way it is.,Minimal experience,"Yes, fully aware",Strongly agree,Strongly agree,I have no preference.,Thank you for the challenge. So happy with myself for finishing.,4.716666666666667,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L116,1959,20+ years,Female,50+,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,everything,none,No experience,Not aware at all,Somewhat agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,nothing,32.65,Not flagged,5,5,5,5,5,5,TRUE,TRUE
L117,896,0-3 years,Female,41-50,"Yes, I did.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,"El aspecto mas valioso para mi fue que para la teacher mi explicación de la tarea fue clara y específica de cómo realice las evaluaciones, qué observe, plane e implemente una lección muy apropiada para grupos pequeños.",que se hicieran al menos una vez por modulo una clase virtual donde pudiéramos escuchar varios ejemplos de mas compañeros eso ayudaría a poder ver otros métodos de aprendizaje,Some experience,"Yes, fully aware",Strongly agree,Somewhat agree,Human instructor grades everything; AI is only used as a support tool for the instructor.,NA,14.933333333333334,Not flagged,5,5,5,5,5,5,TRUE,TRUE
